"dcterms:identifier";"dcterms:spatial";"aorum:dateHidden";"aorum:spatialharmonise";"aorum:spatialincertitude"
"Esp1495AnoMNAA";"Espagne";"1490/1520";"Espagne";0
"Esp1500AnoMNAA01";"Espagne";"1475/1525";"Espagne";0
"Esp1500AnoMNAA02";"Espagne";"1475/1525";"Espagne";0
"Esp1500AnoMNAA03";"Espagne";"1475/1525";"Espagne";0
"Esp1500AnoMNAA04";"Espagne";"1475/1525";"Espagne";0
"PBa1509QMetMNAA01";"Pays-Bas (XVIᵉ s)";"1509/1511";"Pays-Bas (XVIᵉ s)";0
"PBa1509QMetMNAA02";"Pays-Bas (XVIᵉ s)";"1509/1511";"Pays-Bas (XVIᵉ s)";0
"PBa1509QMetMNAA03";"Pays-Bas (XVIᵉ s)";"1509/1511";"Pays-Bas (XVIᵉ s)";0
"PBa1520AnoMNAA";"Pays-Bas (XVIᵉ s)";"1510/1525";"Pays-Bas (XVIᵉ s)";0
"SEm1510MLAPraCSA01";"Pays germaniques";"1510/1525";"Pays germaniques";0
"Ita1500AnoPraCh";"Péninsule italienne";"1500/1525";"Péninsule italienne";0
"Ita1575VeroPraCh";"Péninsule italienne";"1570/1580";"Péninsule italienne";0
"Ang1540HHJPraCh";"Angleterre";"1530/1550";"Angleterre";0
"SEm1520MOstenPraCh";"Pays germaniques";"1520/1559";"Pays germaniques";0
"Por1470GonNuMNAA01";"Portugal";"1460/1500";"Portugal";0
"Por1470GonNuMNAA02";"Portugal";"1460/1500";"Portugal";0
"Por1537VazMNAA";"Portugal";"1540/1560";"Portugal";0
"Por1520FigueMNAA01";"Portugal";"1510/1540";"Portugal";0
"Por1500AnoMNAA01";"Portugal";"1475/1600";"Portugal";0
"Por1540AnoMNAA01";"Portugal";"1530/1575";"Portugal";0
"Por1515JAfoMNAA08";"Portugal";"1515/1515";"Portugal";0
"Por1550AnoMNAA01";"Portugal";"1520/1550";"Portugal";0
"Por1550AnoMNAA02";"Portugal";"1520/1550";"Portugal";0
"Ita1520GranASH01";"Péninsule italienne";"1500/1527";"Péninsule italienne";0
"Ita1520GranASH02";"Péninsule italienne";"1500/1527";"Péninsule italienne";0
"SEm1490AnoASH";"Pays germaniques";"1471/1500";"Pays germaniques";0
"PBa1520AnoASH";"Pays-Bas (XVIᵉ s)";"1480/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoASH";"Pays-Bas (XVIᵉ s)";"1475/1600";"Pays-Bas (XVIᵉ s)";0
"Ita1555VenuASH";"Péninsule italienne";"1540/1575";"Péninsule italienne";0
"SEm1514HSchASH";"Pays germaniques";"1514/1514";"Pays germaniques";0
"Ita1441SellCCO";"Péninsule italienne";"1455/1493";"Péninsule italienne";0
"Ita1466RGarbCCO";"Péninsule italienne";"1470/1524";"Péninsule italienne";0
"Ita1480LMaCCO";"Péninsule italienne";"1475/1530";"Péninsule italienne";0
"Por1519AnoMNAA01";"Portugal";"1518/1520";"Portugal";0
"Por1549Md1MNAA";"Portugal";"1549/1549";"Portugal";0
"Por1520AnoMNAA02";"Portugal";"1510/1540";"Portugal";0
"Por1519AnoMNAA02";"Portugal";"1518/1520";"Portugal";0
"Por1535GLopMNAA";"Portugal";"1530/1540";"Portugal";0
"Por1500AnoMNAA02";"Portugal";"1475/1525";"Portugal";0
"Por1530AnoMNAA01";"Portugal";"1520/1550";"Portugal";0
"Por1540AnoMNAA02";"Portugal";"1530/1560";"Portugal";0
"Por1508FHenrMNAA07";"Portugal";"1508/1511";"Portugal";0
"Por1608DLPMNAA";"Portugal";"1608/1608";"Portugal";0
"Por1600AnoMNAA01";"Portugal";"1575/1700";"Portugal";0
"PBa1550AnoMNAA02";"Pays-Bas (XVIᵉ s)";"1525/1575";"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA08";"Pays-Bas (XVIᵉ s)";"1542/1590";"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA09";"Pays-Bas (XVIᵉ s)";"1475/1530";"Pays-Bas (XVIᵉ s)";0
"Esp1600AnoMNAA";"Espagne";"1575/1700";"Espagne";0
"Por1500AnoMNAA03";"Portugal";"1475/1550";"Portugal";0
"Por1550FdHMNAA";"Portugal";"1525/1554";"Portugal";0
"Por1540AnoMNAA03";"Portugal";"1530/1575";"Portugal";0
"Por1540AnoMNAA04";"Portugal";"1530/1575";"Portugal";0
"Esp1500AnoMNAA05";"Espagne";"1475/1600";"Espagne";0
"Por1500FigueMNAA";"Portugal";"1475/1540";"Portugal";0
"Por1520AnoMNAA03";"Portugal";"1510/1550";"Portugal";0
"Por1600PaivMNAA";"Portugal";"1575/1640";"Portugal";0
"Ita1700AnoMNAA01";"Péninsule italienne";"1675/1775";"Péninsule italienne";0
"Por1500MdSMNAA01";"Portugal";"1475/1600";"Portugal";0
"Por1500MdSMNAA02";"Portugal";"1475/1600";"Portugal";0
"Por1500MdSMNAA03";"Portugal";"1475/1600";"Portugal";0
"Por1500MdSMNAA04";"Portugal";"1475/1600";"Portugal";0
"Por1500MdSMNAA05";"Portugal";"1475/1600";"Portugal";0
"Por1500MdSMNAA06";"Portugal";"1475/1600";"Portugal";0
"Por1600AnoMNAA02";"Portugal";"1575/1700";"Portugal";0
"Por1600AnoMNAA03";"Portugal";"1575/1700";"Portugal";0
"PBE1648JvKMNAA";"Portugal";"1648/1648";"Portugal";0
"PBa1505AnoMNAA";"Pays-Bas (XVIᵉ s)";"1500/1540";"Pays-Bas (XVIᵉ s)";0
"Por1600AnoMNAA04";"Portugal";"1725/1800";"Portugal";0
"Ita1600AnoMNAA";"Péninsule italienne (?)";"1575/1700";"Péninsule italienne";1
"Ita1525LMaMNAA";"Péninsule italienne";"1525/1525";"Péninsule italienne";0
"Esp1500AnoMNAA06";"Espagne";"1460/1525";"Espagne";0
"Por1575MBOMNAA";"Portugal";"1570/1600";"Portugal";0
"Por1537GFernaMNAA01";"Portugal";"1537/1537";"Portugal";0
"Por1600AnoMNAA05";"Portugal";"1575/1700";"Portugal";0
"As1600AnoMNAA";"Asie";"1570/1620";"Asie";0
"As1555AnoMNAA01";"Asie";"1550/1590";"Asie";0
"As1555AnoMNAA02";"Asie";"1550/1590";"Asie";0
"Ita1560CesuWall";"Péninsule italienne";"1550/1571";"Péninsule italienne";0
"Ang1545BettesTB";"Angleterre";"1545/1545";"Angleterre";0
"Ang1590AnoTB";"Angleterre";"1580/1600";"Angleterre";0
"Ita1500AnoDiBA";"Péninsule italienne";"1500/1550";"Péninsule italienne";0
"SEm1478MRoCoDiBA01";"Pays germaniques";"1478/1485";"Pays germaniques";0
"SEm1478MRoCoDiBA02";"Pays germaniques";"1478/1485";"Pays germaniques";0
"Ang1540AnoHoly";"Angleterre";"1570/1590";"Angleterre";0
"Ang1610AnoHoly";"Angleterre";"1600/1650";"Angleterre";0
"SEm1520LCaPraCh";"Pays germaniques";"1520/1522";"Pays germaniques";0
"SEm1510AnoPraCSA02";"Pays germaniques";"1500/1520";"Pays germaniques";0
"SEm1510AnoPraCSA03";"Pays germaniques";"1500/1520";"Pays germaniques";0
"SEm1510MLAPraCSA02";"Pays germaniques";"1500/1520";"Pays germaniques";0
"SEm1510MLAPraCSA03";"Pays germaniques";"1500/1520";"Pays germaniques";0
"PBa1580MCoxPraPS";"Pays-Bas (XVIᵉ s)";"1530/1580";"Pays-Bas (XVIᵉ s)";0
"Ita1501CaroPraPS";"Péninsule italienne";"1501/1550";"Péninsule italienne";0
"SEm1520LCaPraPS01";"Pays germaniques";"1520/1522";"Pays germaniques";0
"SEm1525MIWPraPS";"Pays germaniques";"1520/1530";"Pays germaniques";0
"PBa1511MFLPraPS";"Pays-Bas (XVIᵉ s)";"1511/1511";"Pays-Bas (XVIᵉ s)";0
"SEm1517HWertPraPS";"Pays germaniques";"1516/1518";"Pays germaniques";0
"SEm1515BStriPraPS";"Pays germaniques";"1515/1528";"Pays germaniques";0
"PBa1482EngePraPS";"Pays-Bas (XVIᵉ s)";"1510/1527";"Pays-Bas (XVIᵉ s)";0
"SEm1490HHAPraPS";"Pays germaniques";"1480/1500";"Pays germaniques";0
"SEm1509HHAPraPS01";"Pays germaniques";"1509/1509";"Pays germaniques";0
"SEm1509HHAPraPS02";"Pays germaniques";"1509/1509";"Pays germaniques";0
"Ita1502PVenPraPS";"Péninsule italienne";"1502/1504";"Péninsule italienne";0
"Ita1495LBreaPraPSt01";"Péninsule italienne";"1495/1500";"Péninsule italienne";0
"Ita1495LBreaPraPSt02";"Péninsule italienne";"1495/1500";"Péninsule italienne";0
"Ita1510DFerrPraPSt";"Péninsule italienne";"1510/1535";"Péninsule italienne";0
"PBa1482EngePraPSt";"Pays-Bas (XVIᵉ s)";"1482/1527";"Pays-Bas (XVIᵉ s)";0
"PBa1525AnoPraPSt";"Pays-Bas (XVIᵉ s)";"1520/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1510AnoPraPSt";"Pays-Bas (XVIᵉ s)";"1510/1520";"Pays-Bas (XVIᵉ s)";0
"PBa1493MFrPraPSt";"Pays-Bas (XVIᵉ s)";"1493/1520";"Pays-Bas (XVIᵉ s)";0
"SEm1506MGutJPraPSt";"Pays germaniques";"1506/1532";"Pays germaniques";0
"SEm1516HBGPraPSt";"Pays germaniques";"1516/1516";"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt02";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt03";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt04";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt05";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt06";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt07";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt08";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt09";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt10";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt11";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt12";"Pays germaniques";"1499/1499";"Pays germaniques";0
"SEm1499HRaphPraPSt13";"Pays germaniques";"1499/1499";"Pays germaniques";0
