"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"Esp1500AnoMNAA03";"Fond d'or";;"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1500AnoMNAA04";"Fond d'or";;"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"PBa1509QMetMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1509QMetMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1509QMetMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520AnoMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"SEm1510MLAPraCSA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1510MLAPraCSA01";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1510MLAPraCSA01";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1510MLAPraCSA01";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1510MLAPraCSA01";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ita1500AnoPraCh";"Vêtement";"Orfroi";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoPraCh";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1575VeroPraCh";"Inscription";"Chrysographie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ang1540HHJPraCh";"Parure";"Bijou";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"SEm1520MOstenPraCh";"Mandorle";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520MOstenPraCh";"Vêtement";"Brocart";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520MOstenPraCh";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Por1470GonNuMNAA01";"Attribut";"Attribut guerrier";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1470GonNuMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1470GonNuMNAA02";"Attribut";"Attribut clérical";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1537VazMNAA";"Accessoire";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520FigueMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1500AnoMNAA01";"Vêtement";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1540AnoMNAA01";"Vêtement";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA08";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA08";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550AnoMNAA01";"Vêtement";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Ita1520GranASH01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1520GranASH01";"Objet";"Livre";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1520GranASH02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1520GranASH02";"Accessoire";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"SEm1490AnoASH";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1490AnoASH";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"PBa1520AnoASH";"Attribut";"Regalia";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520AnoASH";"Attribut";"Attribut autre";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520AnoASH";"Attribut";"Attribut guerrier";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoASH";"Cadre";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Ita1555VenuASH";"Attribut religieux";"Nimbe";"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"SEm1514HSchASH";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ita1441SellCCO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1441SellCCO";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1441SellCCO";"Lumière";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1441SellCCO";"Être humain";;"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1466RGarbCCO";"Vêtement";;"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1466RGarbCCO";"Attribut religieux";"Nimbe";"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1466RGarbCCO";"Attribut religieux";"Attribut d'un saint";"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1480LMaCCO";"Attribut religieux";"Nimbe";"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1480LMaCCO";"Vêtement";;"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1480LMaCCO";"Autre";;"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Por1519AnoMNAA01";"Cadre";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1519AnoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1549Md1MNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520AnoMNAA02";"Attribut";"Regalia";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1519AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1535GLopMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1535GLopMNAA";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1500AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1530AnoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1530AnoMNAA01";"Attribut";"Attribut clérical";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1540AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA07";"Aura";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA07";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1608DLPMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA01";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"PBa1550AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA08";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA08";"Ornements";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA09";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Esp1600AnoMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1600AnoMNAA";"Vêtement";;"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Por1500AnoMNAA03";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550FdHMNAA";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550FdHMNAA";"Vêtement";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1540AnoMNAA03";;;;"Portugal";;0;"Portugal";0
"Por1540AnoMNAA04";"Vêtement";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Esp1500AnoMNAA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Por1500FigueMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1520AnoMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600PaivMNAA";"Attribut";"Attribut guerrier";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600PaivMNAA";"Vêtement";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Ita1700AnoMNAA01";"Attribut religieux";"Nimbe";"Sur bol (?)";"Péninsule italienne";"Bol";1;"Péninsule italienne";0
"Ita1700AnoMNAA01";"Inscription";"Chrysographie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1700AnoMNAA01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Por1500MdSMNAA01";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1500MdSMNAA02";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1500MdSMNAA03";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1500MdSMNAA04";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1500MdSMNAA05";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1500MdSMNAA06";"Fond d'or";;"Sur bol (?)";"Portugal";"Bol";1;"Portugal";0
"Por1600AnoMNAA02";"Attribut";"Attribut clérical";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA02";"Phylactère";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA02";"Décor";"Architecture";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA02";"Attribut";"Regalia";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"PBE1648JvKMNAA";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"PBa1505AnoMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Por1600AnoMNAA04";"Décor";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Ita1600AnoMNAA";"Fond d'or (?)";;"Sur bol (?)";"Péninsule italienne (?)";"Bol";1;"Péninsule italienne";1
"Ita1600AnoMNAA";"Attribut religieux";"Nimbe";"Sur bol (?)";"Péninsule italienne (?)";"Bol";1;"Péninsule italienne";1
"Ita1525LMaMNAA";"Inscription";"Chrysographie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1525LMaMNAA";"Ornements";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1525LMaMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1525LMaMNAA";"Accessoire";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1525LMaMNAA";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Esp1500AnoMNAA06";"Vêtement";;"Sur bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1500AnoMNAA06";"Attribut religieux";"Nimbe";"Sur bol (?)";"Espagne";"Bol";1;"Espagne";0
"Por1575MBOMNAA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1575MBOMNAA";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1537GFernaMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1600AnoMNAA05";"Cadre";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"As1600AnoMNAA";"Attribut";"Attribut guerrier";"Sur bol (?)";"Asie";"Bol";1;"Asie";0
"As1600AnoMNAA";"Attribut";"Attribut guerrier";"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1600AnoMNAA";"Parure";"Bijou";"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA01";"Attribut";"Attribut guerrier";"Sur bol (?)";"Asie";"Bol";1;"Asie";0
"As1555AnoMNAA01";"Vêtement";;"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA01";"Attribut";"Attribut guerrier";"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA01";"Armoirie";;"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA01";"Attribut";"Attribut guerrier";"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA02";"Armoirie";;"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA02";"Inscription";"Chrysographie";"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"As1555AnoMNAA02";"Attribut";"Attribut guerrier";"Sur bol (?)";"Asie";"Bol";1;"Asie";0
"As1555AnoMNAA02";"Vêtement";;"Mixtion (?)";"Asie";"Mixtion";1;"Asie";0
"Ita1560CesuWall";"Attribut religieux";"Nimbe";"Or coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ang1545BettesTB";"Inscription";"Chrysographie";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1590AnoTB";"Cadre";;"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1590AnoTB";"Inscription";"Chrysographie";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ita1500AnoDiBA";"Attribut religieux";"Nimbe";;"Péninsule italienne";;0;"Péninsule italienne";0
"Ita1500AnoDiBA";"Vêtement";"Orfroi";;"Péninsule italienne";;0;"Péninsule italienne";0
"SEm1478MRoCoDiBA01";"Attribut religieux";"Nimbe";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1478MRoCoDiBA01";"Objet";"Orfèvrerie";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1478MRoCoDiBA02";"Attribut religieux";"Nimbe";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1478MRoCoDiBA02";"Attribut";"Attribut clérical";;"Pays germaniques";;0;"Pays germaniques";0
"Ang1540AnoHoly";"Armoirie";;"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1540AnoHoly";"Vêtement";;"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1540AnoHoly";"Parure";"Bijou";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1610AnoHoly";"Inscription";"Chrysographie";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1610AnoHoly";"Armoirie";;"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"SEm1520LCaPraCh";"Fond d'or";;"Sur bol (?)";"Pays germaniques";"Bol";1;"Pays germaniques";0
"SEm1510AnoPraCSA02";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510AnoPraCSA02";"Attribut religieux";"Nimbe";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510AnoPraCSA02";"Attribut";"Regalia";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510AnoPraCSA03";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510AnoPraCSA03";"Attribut religieux";"Nimbe";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA02";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA02";"Attribut";"Regalia";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA02";"Objet";"Orfèvrerie";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA03";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA03";"Attribut";"Regalia";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510MLAPraCSA03";"Attribut religieux";"Nimbe";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"PBa1580MCoxPraPS";"Lumière";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Ita1501CaroPraPS";"Vêtement";"Orfroi";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"SEm1520LCaPraPS01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1525MIWPraPS";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1525MIWPraPS";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1525MIWPraPS";"Accessoire";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"PBa1511MFLPraPS";"Autre";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1511MFLPraPS";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1511MFLPraPS";"Lumière";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1511MFLPraPS";"Mandorle";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"SEm1517HWertPraPS";"Armoirie";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1517HWertPraPS";"Décor";"Mobilier";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1517HWertPraPS";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1517HWertPraPS";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1515BStriPraPS";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"PBa1482EngePraPS";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"SEm1490HHAPraPS";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1490HHAPraPS";"Décor";"Mobilier";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1490HHAPraPS";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1490HHAPraPS";"Cadre";"Écoinçon";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1509HHAPraPS01";"Inscription";"Chrysographie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1509HHAPraPS02";"Inscription";"Chrysographie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ita1502PVenPraPS";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1502PVenPraPS";"Vêtement";"Orfroi";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1502PVenPraPS";"Accessoire";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1495LBreaPraPSt01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1495LBreaPraPSt01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1495LBreaPraPSt02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1510DFerrPraPSt";"Attribut religieux";"Nimbe";"Bol";"Péninsule italienne";"Bol";0;"Péninsule italienne";0
"Ita1510DFerrPraPSt";"Mandorle";;"Bol";"Péninsule italienne";"Bol";0;"Péninsule italienne";0
"Ita1510DFerrPraPSt";"Vêtement";"Orfroi";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"PBa1482EngePraPSt";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1482EngePraPSt";"Décor";"Mobilier";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1525AnoPraPSt";"Fond d'or";;"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1510AnoPraPSt";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1510AnoPraPSt";"Autre";;"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1493MFrPraPSt";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"SEm1506MGutJPraPSt";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1506MGutJPraPSt";"Armoirie";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1506MGutJPraPSt";"Cadre";"Écoinçon";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1506MGutJPraPSt";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1506MGutJPraPSt";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1516HBGPraPSt";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1516HBGPraPSt";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1516HBGPraPSt";"Coiffe";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Fond d'or";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Cadre";"Écoinçon";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Lumière";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Ornements";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1499HRaphPraPSt01";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
