"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"PBa1500MREEFMdC";"Décor";"Architecture";"Sur bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"Por1550AnoEFMdC_01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1552DConEFMdC";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550DConEFMdC_01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1540DConEFMdC";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Ita1515PontDiBA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Por1550DConEFMdC_02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1546DConEFMdC";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1550AnoEFMdC_02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1544GLopEFMdC01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1544GLopEFMdC02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1525AnoEFMdC";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1530AnoEFMdC01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1530AnoEFMdC02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1615PNunEFMdC01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1615PNunEFMdC02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1530GLopMMIPO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1590DTeixAdCosMMIPO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
