"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"SEm1510AnoPraCSA03";"Pays germaniques";"Bohème (?)";"Pays germaniques";0;"Bohème";1
"SEm1510MLAPraCSA02";"Pays germaniques";"Prague";"Pays germaniques";0;"Prague";0
"SEm1510MLAPraCSA03";"Pays germaniques";"Prague";"Pays germaniques";0;"Prague";0
"PBa1580MCoxPraPS";"Pays-Bas (XVIᵉ s)";"Malines";"Pays-Bas (XVIᵉ s)";0;"Malines";0
"Ita1501CaroPraPS";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"SEm1520LCaPraPS01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1525MIWPraPS";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"PBa1511MFLPraPS";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"SEm1517HWertPraPS";"Pays germaniques";"Landshut";"Pays germaniques";0;"Landshut";0
"SEm1515BStriPraPS";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"PBa1482EngePraPS";"Pays-Bas (XVIᵉ s)";"Leyde (?)";"Pays-Bas (XVIᵉ s)";0;"Leyde";1
"SEm1490HHAPraPS";"Pays germaniques";"Augsbourg (?)";"Pays germaniques";0;"Augsbourg";1
"SEm1509HHAPraPS01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1509HHAPraPS02";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
