"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"Fra1600AnoEco";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Esp1468GallDiBA";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Ita1625NomeDiBA";"Péninsule italienne";"Naples";"Péninsule italienne";0;"Naples";0
"PBE1500AnoMons";"Pays-Bas espagnols (XVIIᵉ s)";;"Pays-Bas espagnols (XVIIᵉ s)";0;"Ville inconnue (Pays-Bas espagnols)";0
"Esp1500GallCollP";"Espagne";"Castille";"Espagne";0;"Castille";0
"Esp1486SedaCollP";"Espagne";"Burgos (?)";"Espagne";0;"Burgos";1
"Esp1491PBerrPra01";"Espagne";"Ávila";"Espagne";0;"Ávila";0
"Esp1508JBorgoDallas";"Espagne";"Tolède";"Espagne";0;"Tolède";0
"Por1500AnoMASA01";"Portugal (?)";;"Portugal";1;"Ville inconnue (Portugal)";1
"Por1500AnoMASA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBa1485AnoFCG";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Por1500VGilEFMdC";"Portugal";"Coimbra";"Portugal";0;"Coimbra";0
"Por1530FCarloEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrEFMdC01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrEFMdC02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrEFMdC03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Ita1550AnoEFMdC";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"PBa1525AYsenEFMdC";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500MREEFMdC";"Pays-Bas (XVIᵉ s)";"Bruges";"Pays-Bas (XVIᵉ s)";0;"Bruges";0
"Por1550AnoEFMdC_01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1552DConEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1550DConEFMdC_01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1540DConEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Ita1515PontDiBA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Por1550DConEFMdC_02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1546DConEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1550AnoEFMdC_02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1544GLopEFMdC01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1544GLopEFMdC02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1525AnoEFMdC";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1530AnoEFMdC01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1530AnoEFMdC02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1615PNunEFMdC01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1615PNunEFMdC02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1530GLopMMIPO";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1590DTeixAdCosMMIPO";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBa1515CdCoMMIPO";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Por1591DTeixMMIPO01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1591DTeixMMIPO02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1591DTeixMMIPO03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1647JAyaMNSR";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloMNSR";"Portugal";"Évora";"Portugal";0;"Évora";0
"PBa1500WMuelMNSR";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"Por1511VFernaMNSR01";"Portugal";"Viseu";"Portugal";0;"Viseu";0
"Por1511VFernaMNSR02";"Portugal";"Viseu";"Portugal";0;"Viseu";0
"Por1500AnoMNSR01";"Japon";;"Japon";0;"Ville inconnue (Japon)";0
"PBE1600AnoMNSR";"Pays-Bas espagnols (XVIIᵉ s)";;"Pays-Bas espagnols (XVIIᵉ s)";0;"Ville inconnue (Pays-Bas espagnols)";0
"Por1500AnoMNSR02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
