lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
402,5;14,905;0,0165833;11,594;0,0147371;2,16045;0,000708178;2,14847;0,00112378;6,16622;0,00543951;3,98873;0,00337039;4,69945;0,00423559;1,36023;0,00198157;0,697388;0,00179108
402,6;14,9045;0,0167229;11,5938;0,0148734;2,16021;0,000728453;2,14843;0,00112117;6,16606;0,00548304;3,98874;0,00339253;4,69932;0,00428494;1,36026;0,0020023;0,697477;0,00182244
402,7;14,904;0,0168459;11,5937;0,0149987;2,15998;0,00074736;2,14841;0,00111818;6,16592;0,00552215;3,98876;0,00341225;4,69919;0,00432933;1,36028;0,00202121;0,697579;0,00185303
402,8;14,9036;0,016959;11,5936;0,0151184;2,15978;0,000765497;2,14841;0,00111502;6,1658;0,00555931;3,9888;0,0034312;4,69907;0,00437045;1,36031;0,00203867;0,697696;0,00188246
402,9;14,9031;0,0170691;11,5936;0,015238;2,15962;0,000783462;2,14843;0,00111189;6,16569;0,00559701;3,98886;0,00345105;4,69897;0,00440995;1,36034;0,00205509;0,69783;0,00191036
403;14,9028;0,0171829;11,5936;0,0153628;2,15948;0,000801853;2,14848;0,00110901;6,16561;0,0056377;3,98895;0,00347346;4,69888;0,00444952;1,36038;0,00207084;0,697981;0,00193638
403,1;14,9025;0,0173066;11,5937;0,0154979;2,1594;0,000821222;2,14856;0,0011066;6,16556;0,00568367;3,98906;0,00349995;4,69882;0,00449072;1,36043;0,00208632;0,698151;0,00196019
403,2;14,9023;0,017444;11,594;0,0156462;2,15935;0,000841895;2,14866;0,00110498;6,16556;0,00573623;3,98921;0,00353129;4,69879;0,00453454;1,3605;0,00210204;0,698339;0,00198179
403,3;14,9024;0,0175967;11,5944;0,015809;2,15934;0,000863972;2,14879;0,00110456;6,16563;0,00579574;3,98939;3,5675E-3;4,69882;0,00458146;1,36058;0,00211857;0,698543;0,00200152
403,4;14,9027;0,0177654;11,595;0,015987;2,15937;0,000887506;2,14894;0,00110576;6,16578;0,00586235;3,98963;0,0036085;4,69891;0,0046318;1,36068;0,00213649;0,698762;0,00201973
